Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,io.spring.initializr.generator.spring.build.gradle,GradleBuildProjectContributorTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.buildsystem.gradle.GradleBuild; io.spring.initializr.generator.io.IndentingWriterFactory
.,io.spring.initializr.generator.spring.build.gradle,GradleBuildProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (groovyDslGradleBuildIsContributedInProjectStructure) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.build.gradle.GradleBuildProjectContributor.contribute; io.spring.initializr.generator.spring.build.gradle.GradleBuildProjectContributorTests.groovyDslGradleBuildProjectContributor
.,io.spring.initializr.generator.spring.build.gradle,GradleBuildProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (kotlinDslGradleBuildIsContributedInProjectStructure) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.build.gradle.GradleBuildProjectContributor.contribute; io.spring.initializr.generator.spring.build.gradle.GradleBuildProjectContributorTests.kotlinDslGradleBuildProjectContributor
.,io.spring.initializr.generator.spring.build.gradle,GradleBuildProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (kotlinDslGradleBuildIsContributedUsingGradleContentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.add
.,io.spring.initializr.generator.spring.build.gradle,SettingsGradleProjectContributorTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.io.IndentingWriterFactory
.,io.spring.initializr.generator.spring.build.gradle,SettingsGradleProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (groovyDslGradleSettingsIsContributedToProject) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.io.AbstractTextAssert.lines; io.spring.initializr.generator.spring.build.gradle.SettingsGradleProjectContributorTests.assertSettings
.,io.spring.initializr.generator.spring.build.gradle,SettingsGradleProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (groovyDslGradleSettingsIsContributedUsingGradleContentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.io.AbstractTextAssert.lines; io.spring.initializr.generator.spring.build.gradle.SettingsGradleProjectContributorTests.assertSettings
.,io.spring.initializr.generator.spring.build.gradle,SettingsGradleProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (kotlinDslGradleSettingsIsContributedToProject) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.io.AbstractTextAssert.lines; io.spring.initializr.generator.spring.build.gradle.SettingsGradleProjectContributorTests.assertSettings
.,io.spring.initializr.generator.spring.build.gradle,SettingsGradleProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (kotlinDslGradleSettingsIsContributedUsingGradleContentId) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.io.AbstractTextAssert.lines; io.spring.initializr.generator.spring.build.gradle.SettingsGradleProjectContributorTests.assertSettings
.,io.spring.initializr.generator.spring.build.gradle,DevelopmentOnlyDependencyGradleBuildCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (shouldNotChangeDependencies) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.Build.dependencies; io.spring.initializr.generator.buildsystem.BuildItemContainer.ids
.,io.spring.initializr.generator.spring.build.gradle,ConditionalOnGradleVersionTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfigurationTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDirectory; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDescriptionCustomizer; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withIndentingWriterFactory
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring.build.gradle,GradleKtsProjectGenerationConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.build.gradle,GradleKtsProjectGenerationConfigurationTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
.,io.spring.initializr.generator.spring.build.gradle,GradleKtsProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDirectory; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withDescriptionCustomizer; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester.withIndentingWriterFactory
.,io.spring.initializr.generator.spring.build.gradle,GradleKtsProjectGenerationConfigurationTests,Law of Demeter violation,The tool detected the smell in this method (setup) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration,Law of Demeter violation,The tool detected the smell in this method (javaPluginContributor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.add
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration,Law of Demeter violation,The tool detected the smell in this method (groovyPluginContributor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.add
.,io.spring.initializr.generator.spring.build.gradle,GradleProjectGenerationConfiguration,Law of Demeter violation,The tool detected the smell in this method (warPluginContributor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.add
.,io.spring.initializr.generator.spring.build.gradle,GradleConfigurationBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.Build.dependencies; io.spring.initializr.generator.buildsystem.BuildItemContainer.items
.,io.spring.initializr.generator.spring.build.gradle,GradleConfigurationBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.values
.,io.spring.initializr.generator.spring.build.gradle,GradleConfigurationBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.configurations; io.spring.initializr.generator.buildsystem.gradle.GradleConfigurationContainer.add
.,io.spring.initializr.generator.spring.build.gradle,InitializrDependencyManagementPluginVersionResolver,Law of Demeter violation,The tool detected the smell in this method (resolveDependencyManagementPluginVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrConfiguration.getEnv; io.spring.initializr.metadata.InitializrMetadata.getConfiguration
.,io.spring.initializr.generator.spring.build.gradle,SpringBootPluginBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.add
.,io.spring.initializr.generator.spring.build.gradle,SpringBootPluginBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.project.ProjectDescription.getPlatformVersion; io.spring.initializr.generator.version.Version.toString
.,io.spring.initializr.generator.spring.build.gradle,SpringBootPluginBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.plugins; io.spring.initializr.generator.buildsystem.gradle.GradlePluginContainer.add
.,io.spring.initializr.generator.spring.build.gradle,GradleAnnotationProcessorScopeBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.Build.dependencies; io.spring.initializr.generator.buildsystem.BuildItemContainer.items
.,io.spring.initializr.generator.spring.build.gradle,GradleAnnotationProcessorScopeBuildCustomizer,Law of Demeter violation,The tool detected the smell in this method (customize) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.buildsystem.gradle.GradleBuild.configurations; io.spring.initializr.generator.buildsystem.gradle.GradleConfigurationContainer.customize
.,io.spring.initializr.generator.spring.scm.git,GitIgnoreTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.scm.git.GitIgnore
.,io.spring.initializr.generator.spring.scm.git,GitProjectGenerationConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.scm.git,GitProjectGenerationConfigurationTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.generator.spring.scm.git,GitAttributesTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.scm.git.GitAttributes
.,io.spring.initializr.generator.spring.scm.git,GitIgnore.GitIgnoreSection,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,io.spring.initializr.generator.spring.scm.git,GitProjectGenerationConfiguration,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.scm.git.GitIgnore
.,io.spring.initializr.generator.spring.scm.git,GitProjectGenerationConfiguration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.generator.spring.util,LambdaSafe.Callback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,io.spring.initializr.generator.spring.util,LambdaSafe.Callbacks,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,io.spring.initializr.generator.spring.util,LambdaSafe.InvocationResult,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,io.spring.initializr.web,AbstractInitializrIntegrationTests.Config,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,io.spring.initializr.web.mapper,InitializrMetadataV22JsonMapperTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.InitializrMetadataTestBuilder; io.spring.initializr.web.mapper.InitializrMetadataJsonMapper
.,io.spring.initializr.web.mapper,InitializrMetadataV22JsonMapperTests,Law of Demeter violation,The tool detected the smell in this method (platformVersionUsingSemVerUIsNotChanged) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.addBootVersion; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build
.,io.spring.initializr.web.mapper,InitializrMetadataV22JsonMapperTests,Law of Demeter violation,The tool detected the smell in this method (shouldAllowCustomization) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.addType; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapperTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.InitializrMetadataTestBuilder; io.spring.initializr.web.mapper.InitializrMetadataV21JsonMapper
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapperTests,Law of Demeter violation,The tool detected the smell in this method (withNoAppUrl) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.addType; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapperTests,Law of Demeter violation,The tool detected the smell in this method (withAppUrl) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.addType; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapperTests,Law of Demeter violation,The tool detected the smell in this method (linksRendered) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapperTests,Law of Demeter violation,The tool detected the smell in this method (platformVersionUsingSemVerUseBackwardCompatibleFormat) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.addBootVersion; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build
.,io.spring.initializr.web.mapper,DependencyMetadataJsonMapperTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.web.mapper.DependencyMetadataJsonMapper; io.spring.initializr.metadata.Repository
.,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
.,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,Law of Demeter violation,The tool detected the smell in this method (write) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.TypeCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getTypes
.,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,Law of Demeter violation,The tool detected the smell in this method (formatVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.version.Version.toString; io.spring.initializr.generator.version.Version.format
.,io.spring.initializr.web.mapper,DependencyMetadataV21JsonMapper,Law of Demeter violation,The tool detected the smell in this method (write) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.DependencyMetadata.getBootVersion; io.spring.initializr.generator.version.Version.toString
.,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapper,Law of Demeter violation,The tool detected the smell in this method (formatVersionRange) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.version.VersionRange.format; io.spring.initializr.generator.version.VersionRange.toRangeString
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.metadata.InitializrMetadata
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadataBuilder.create; io.spring.initializr.metadata.InitializrMetadataBuilder.withInitializrMetadata
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getDependencies; io.spring.initializr.metadata.DependenciesCapability.getContent
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getDependencies; io.spring.initializr.metadata.DependenciesCapability.getContent
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.TypeCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getTypes
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.TypeCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getTypes
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getBootVersions; io.spring.initializr.metadata.SingleSelectCapability.getContent
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getBootVersions; io.spring.initializr.metadata.SingleSelectCapability.getContent
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.SingleSelectCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getPackagings
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.SingleSelectCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getPackagings
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getJavaVersions; io.spring.initializr.metadata.SingleSelectCapability.getContent
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getJavaVersions; io.spring.initializr.metadata.SingleSelectCapability.getContent
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.SingleSelectCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getLanguages
.,io.spring.initializr.web.controller,ProjectMetadataControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (initializeRemoteConfig) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.SingleSelectCapability.getContent; io.spring.initializr.metadata.InitializrMetadata.getLanguages
.,io.spring.initializr.web.controller,ProjectGenerationControllerCustomDefaultsIntegrationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert
.,io.spring.initializr.web.controller,ProjectGenerationControllerCustomDefaultsIntegrationTests,Law of Demeter violation,The tool detected the smell in this method (generateDefaultPom) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert.hasVersion; io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert.doesNotHaveNode; io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert.hasGroupId; io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert.hasDescription; io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert.hasName; io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert.hasArtifactId
.,io.spring.initializr.web.controller,CommandLineExampleIntegrationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.buildsystem.maven.MavenBuildAssert
.,io.spring.initializr.web.controller,ProjectGenerationController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.web.controller,ProjectGenerationController,Law of Demeter violation,The tool detected the smell in this method (springZip) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.web.project.ProjectGenerationResult.getProjectDescription; io.spring.initializr.generator.project.ProjectDescription.getArtifactId
.,io.spring.initializr.web.controller,ProjectGenerationController,Law of Demeter violation,The tool detected the smell in this method (springTgz) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.web.project.ProjectGenerationResult.getProjectDescription; io.spring.initializr.generator.project.ProjectDescription.getArtifactId
.,io.spring.initializr.web.controller,ProjectGenerationController,Law of Demeter violation,The tool detected the smell in this method (generateFileName) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadataProvider.get; io.spring.initializr.metadata.InitializrMetadata.getArtifactId; io.spring.initializr.metadata.TextCapability.getContent
.,io.spring.initializr.web.controller,SpringCliDistributionController,Law of Demeter violation,The tool detected the smell in this method (spring) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadataProvider.get; io.spring.initializr.metadata.InitializrMetadata.createCliDistributionURl
.,io.spring.initializr.web.controller,SpringCliDistributionController,Law of Demeter violation,The tool detected the smell in this method (springTgz) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadataProvider.get; io.spring.initializr.metadata.InitializrMetadata.createCliDistributionURl
.,io.spring.initializr.web.controller,AbstractMetadataController,Law of Demeter violation,The tool detected the smell in this method (isForceSsl) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadataProvider.get; io.spring.initializr.metadata.InitializrConfiguration.getEnv; io.spring.initializr.metadata.InitializrMetadata.getConfiguration
.,io.spring.initializr.web.controller,ProjectMetadataController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
.,io.spring.initializr.web.controller,ProjectMetadataController,Law of Demeter violation,The tool detected the smell in this method (dependenciesFor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrMetadata.getBootVersions; io.spring.initializr.metadata.MetadataElement.getId; io.spring.initializr.metadata.SingleSelectCapability.getDefault
.,io.spring.initializr.web.controller,ProjectMetadataController,Law of Demeter violation,The tool detected the smell in this method (dependenciesFor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.metadata.InitializrConfiguration.getEnv; io.spring.initializr.metadata.InitializrMetadata.getConfiguration
.,io.spring.initializr.web.controller,ProjectMetadataController,Law of Demeter violation,The tool detected the smell in this method (dependenciesFor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.web.controller.ProjectMetadataController.createDependencyJsonMapper; io.spring.initializr.web.mapper.DependencyMetadataJsonMapper.write
.,io.spring.initializr.web.controller,ProjectMetadataController,Law of Demeter violation,The tool detected the smell in this method (serviceCapabilitiesFor) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.web.controller.ProjectMetadataController.createMetadataJsonMapper; io.spring.initializr.web.mapper.InitializrMetadataJsonMapper.write
.,io.spring.initializr.web.controller,CommandLineMetadataController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.web.support.CommandLineHelpGenerator
.,io.spring.initializr.web.controller,DefaultProjectGenerationController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.web.project.WebProjectRequest
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.web.project.DefaultProjectRequestPlatformVersionTransformer
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Law of Demeter violation,The tool detected the smell in this method (formatV1WhenV2IsExpected) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.setPlatformVersionFormatCompatibilityRange
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Law of Demeter violation,The tool detected the smell in this method (formatV1WhenV1IsExpected) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.setPlatformVersionFormatCompatibilityRange
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Law of Demeter violation,The tool detected the smell in this method (formatV2WhenV1IsExpected) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.setPlatformVersionFormatCompatibilityRange
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Law of Demeter violation,The tool detected the smell in this method (formatV2WhenV2IsExpected) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.setPlatformVersionFormatCompatibilityRange
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Law of Demeter violation,The tool detected the smell in this method (formatV1WhenNoRangeIsConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.web.project,DefaultProjectRequestPlatformVersionTransformerTests,Law of Demeter violation,The tool detected the smell in this method (formatV2WhenNoRangeIsConfigured) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
